Feature,SHAP_Value,Absolute_SHAP
categorical__Contract_Two year,-0.10911344772850103,0.10911344772850103
categorical__Contract_Month-to-month,-0.0978773543139422,0.0978773543139422
remainder__tenure,-0.07968975278137308,0.07968975278137308
remainder__TotalCharges,-0.04693000706861709,0.04693000706861709
categorical__OnlineSecurity_No,-0.042033970292562846,0.042033970292562846
categorical__TechSupport_No,-0.030548430414358663,0.030548430414358663
categorical__InternetService_Fiber optic,0.026316009933009647,0.026316009933009647
categorical__OnlineSecurity_Yes,-0.019750686510415373,0.019750686510415373
categorical__PaymentMethod_Electronic check,-0.018965013540859155,0.018965013540859155
categorical__OnlineBackup_No,-0.014972436824333633,0.014972436824333633
categorical__InternetService_DSL,0.011852915972599519,0.011852915972599519
categorical__TechSupport_Yes,-0.011292903563614256,0.011292903563614256
categorical__Dependents_Yes,-0.009534598253914986,0.009534598253914986
categorical__PaymentMethod_Credit card (automatic),-0.00909584243677902,0.00909584243677902
categorical__OnlineBackup_Yes,-0.008292400407137274,0.008292400407137274
categorical__Dependents_No,-0.007752000784332389,0.007752000784332389
categorical__Contract_One year,-0.007212793452735604,0.007212793452735604
categorical__DeviceProtection_No,-0.00488342143264009,0.00488342143264009
categorical__Partner_No,-0.004236234214356668,0.004236234214356668
categorical__StreamingMovies_Yes,0.0035752827699549127,0.0035752827699549127
categorical__Partner_Yes,-0.0034440473487500393,0.0034440473487500393
categorical__PaperlessBilling_No,0.003243093940563326,0.003243093940563326
categorical__PaperlessBilling_Yes,0.0030946930979568444,0.0030946930979568444
categorical__StreamingTV_Yes,0.0030828764043224913,0.0030828764043224913
categorical__OnlineBackup_No internet service,0.0030626314939969433,0.0030626314939969433
categorical__StreamingMovies_No,0.0027373610032224898,0.0027373610032224898
categorical__StreamingTV_No,0.002705328224544687,0.002705328224544687
categorical__TechSupport_No internet service,0.0025069416367369483,0.0025069416367369483
categorical__InternetService_No,0.0024202701381986725,0.0024202701381986725
categorical__StreamingTV_No internet service,0.002069429519389964,0.002069429519389964
categorical__DeviceProtection_Yes,-0.0019613013394351106,0.0019613013394351106
categorical__StreamingMovies_No internet service,0.0019557033105695844,0.0019557033105695844
categorical__OnlineSecurity_No internet service,0.001935606111683709,0.001935606111683709
categorical__DeviceProtection_No internet service,0.0018453220803825133,0.0018453220803825133
categorical__gender_Male,0.0013452048149750484,0.0013452048149750484
categorical__MultipleLines_Yes,0.0011142320978125863,0.0011142320978125863
remainder__MonthlyCharges,0.0009990095221535974,0.0009990095221535974
remainder__SeniorCitizen,-0.000984895736259216,0.000984895736259216
categorical__MultipleLines_No,0.0006416821238716917,0.0006416821238716917
categorical__gender_Female,0.000629635971398352,0.000629635971398352
categorical__PaymentMethod_Bank transfer (automatic),-0.00043310653812758925,0.00043310653812758925
categorical__PaymentMethod_Mailed check,-0.00016493413165721783,0.00016493413165721783
categorical__PhoneService_Yes,-0.00011169141103968643,0.00011169141103968643
categorical__MultipleLines_No phone service,-2.2412244085386717e-05,2.2412244085386717e-05
categorical__PhoneService_No,-3.889956245963644e-06,3.889956245963644e-06
