customerID,Churn_Probability,Risk_Level,Base_LTV,LTV_Segment,Retention_Priority,Recommended_Action
4376-KFVRS,0.048153133479608146,LOW RISK,8211.6,HIGH LTV,MAINTAIN,Maintain relationship and provide good customer experience.
2754-SDJRD,0.8367617408889604,HIGH RISK,3762.632015848473,HIGH LTV,CRITICAL,Immediate retention intervention. Offer personalized incentive and proactive customer support.
9917-KWRBE,0.19596717894362012,LOW RISK,3212.35,MEDIUM LTV,LOW,Continue regular engagement and monitor customer behavior.
0365-GXEZS,0.602086079582993,HIGH RISK,2937.9712794742945,MEDIUM LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
9385-NXKDA,0.04950456759122512,LOW RISK,5950.8,HIGH LTV,MAINTAIN,Maintain relationship and provide good customer experience.
4686-UXDML,0.7444156134556512,HIGH RISK,3751.361026285272,HIGH LTV,CRITICAL,Immediate retention intervention. Offer personalized incentive and proactive customer support.
2227-JRSJX,0.6371929741726343,HIGH RISK,3725.062050637805,HIGH LTV,CRITICAL,Immediate retention intervention. Offer personalized incentive and proactive customer support.
4830-FAXFM,0.18970089317205982,LOW RISK,905.4361615771164,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
1830-IPXVJ,0.015333630773167406,LOW RISK,1204.75,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
4690-LLKUA,0.6318845896330394,HIGH RISK,1692.526932740626,LOW LTV,MEDIUM,Monitor customer and consider a suitable service or pricing offer.
5804-HYIEZ,0.4521733778932349,MEDIUM RISK,7423.5,HIGH LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
2388-LAESQ,0.05670891528304168,LOW RISK,8269.199999999999,HIGH LTV,MAINTAIN,Maintain relationship and provide good customer experience.
5533-RJFTJ,0.4224792344365678,MEDIUM RISK,1479.8,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
4706-AXVKM,0.7897380210098239,HIGH RISK,3185.933049864708,MEDIUM LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
0997-YTLNY,0.37975764828437647,MEDIUM RISK,1833.4143022806336,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
7971-HLVXI,0.22392379505667112,LOW RISK,6084.0,HIGH LTV,MAINTAIN,Maintain relationship and provide good customer experience.
7337-CINUD,0.05095989699840192,LOW RISK,732.6143216080402,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
1379-FRVEB,0.79301889009119,HIGH RISK,3418.866834170854,MEDIUM LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
4753-PADAS,0.3942055754482767,MEDIUM RISK,7081.900000000001,HIGH LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
5701-GUXDC,0.17786900147938808,LOW RISK,1329.976768457673,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
7235-NXZCP,0.8713825614022539,HIGH RISK,2812.111896018554,MEDIUM LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
0668-OGMHD,0.5151674569605647,MEDIUM RISK,1070.744008504059,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
2812-REYAT,0.0591698040825194,LOW RISK,982.45,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
8779-YIQQA,0.029578444339061108,LOW RISK,743.8853111712408,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
9701-CDXHR,0.5129372017284917,MEDIUM RISK,3526.65,HIGH LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
7130-CTCUS,0.40209256945769895,MEDIUM RISK,2049.441602241979,MEDIUM LTV,MEDIUM,Monitor customer and consider a suitable service or pricing offer.
1894-IGFSG,0.7341752913044194,HIGH RISK,3353.119395052184,MEDIUM LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
0871-URUWO,0.7665939604463438,HIGH RISK,3841.528942790877,HIGH LTV,CRITICAL,Immediate retention intervention. Offer personalized incentive and proactive customer support.
0057-QBUQH,0.05892543013163504,LOW RISK,1079.3,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
9611-CTWIH,0.8812388859777943,HIGH RISK,3360.633388094317,MEDIUM LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
8058-DMYRU,0.688992683118042,HIGH RISK,4862.7,HIGH LTV,CRITICAL,Immediate retention intervention. Offer personalized incentive and proactive customer support.
5351-QESIO,0.6289889676432322,HIGH RISK,909.1931580981832,LOW LTV,MEDIUM,Monitor customer and consider a suitable service or pricing offer.
4302-ZYFEL,0.022877640313000068,LOW RISK,1417.95,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
6134-KWTBV,0.027490488174001078,LOW RISK,1450.8,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
2034-GDRCN,0.8873301681222716,HIGH RISK,3396.324855044453,MEDIUM LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
9544-PYPSJ,0.465991152284951,MEDIUM RISK,5958.2,HIGH LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
4208-UFFGW,0.7306081150547363,HIGH RISK,1688.7699362195594,LOW LTV,MEDIUM,Monitor customer and consider a suitable service or pricing offer.
9537-JALFH,0.010884181172942093,LOW RISK,1373.1,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
4415-IJZTP,0.9063244027420145,HIGH RISK,2798.96240819482,MEDIUM LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
4701-MLJPN,0.2931913551390347,LOW RISK,2075.740577889447,MEDIUM LTV,LOW,Continue regular engagement and monitor customer behavior.
7515-LODFU,0.0272667042170198,LOW RISK,1400.7,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
4927-WWOOZ,0.8909457252981997,HIGH RISK,3435.773318515656,MEDIUM LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
4067-HLYQI,0.6304321240152072,HIGH RISK,2644.9255508310785,MEDIUM LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
6184-DYUOB,0.33078624373872784,MEDIUM RISK,736.3713181291071,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
9209-NWPGU,0.18223465315019355,LOW RISK,2877.6000000000004,MEDIUM LTV,LOW,Continue regular engagement and monitor customer behavior.
9851-KIELU,0.6962162698112748,HIGH RISK,4136.453169694627,HIGH LTV,CRITICAL,Immediate retention intervention. Offer personalized incentive and proactive customer support.
3199-XGZCY,0.861383694778999,HIGH RISK,2827.139882102821,MEDIUM LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
4226-KKDON,0.4206142583046719,MEDIUM RISK,2504.038181291071,MEDIUM LTV,MEDIUM,Monitor customer and consider a suitable service or pricing offer.
1085-LDWAM,0.03645079703676873,LOW RISK,1404.15,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
6825-UYPFK,0.583659458059903,MEDIUM RISK,2840.2893699265555,MEDIUM LTV,MEDIUM,Monitor customer and consider a suitable service or pricing offer.
1767-CJKBA,0.03381619180979095,LOW RISK,1656.6,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
7181-BQYBV,0.8440027264958175,HIGH RISK,3849.042935833011,HIGH LTV,CRITICAL,Immediate retention intervention. Offer personalized incentive and proactive customer support.
0178-CIIKR,0.2957741587767157,LOW RISK,749.5208059528411,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
4256-ZWTZI,0.5226087278644826,MEDIUM RISK,1916.068225744105,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
9537-VHDTA,0.562986047028866,MEDIUM RISK,1923.5822187862389,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
2754-XBHTB,0.8101168834801074,HIGH RISK,2917.3077986084268,MEDIUM LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
5975-BAICR,0.20068846338655136,LOW RISK,2393.206783919598,MEDIUM LTV,LOW,Continue regular engagement and monitor customer behavior.
3301-VKTGC,0.1713744138304683,LOW RISK,5814.0,HIGH LTV,MAINTAIN,Maintain relationship and provide good customer experience.
2877-VDUER,0.20204809896293097,LOW RISK,1536.6115771163509,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
7717-BICXI,0.015615384062539926,LOW RISK,1233.0,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
0562-FGDCR,0.039877835647908304,LOW RISK,5367.599999999999,HIGH LTV,MAINTAIN,Maintain relationship and provide good customer experience.
3705-PSNGL,0.03900677263107379,LOW RISK,918.0,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
0048-LUMLS,0.35137590183491874,MEDIUM RISK,3426.380827212988,MEDIUM LTV,MEDIUM,Monitor customer and consider a suitable service or pricing offer.
6497-TILVL,0.4212158240058782,MEDIUM RISK,1904.7972361809043,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
2108-YKQTY,0.5999027343095897,MEDIUM RISK,1904.7972361809043,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
3658-KIBGF,0.6910795918495799,HIGH RISK,2062.591090065713,MEDIUM LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
5482-NUPNA,0.4217754417608078,MEDIUM RISK,2269.225898724391,MEDIUM LTV,MEDIUM,Monitor customer and consider a suitable service or pricing offer.
7410-KTVFV,0.43369987325713133,MEDIUM RISK,1861.5917761886355,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
9033-EOXWV,0.30457076994718923,MEDIUM RISK,2782.055923850019,MEDIUM LTV,MEDIUM,Monitor customer and consider a suitable service or pricing offer.
8821-XNHVZ,0.8603229023587571,HIGH RISK,3007.475715114032,MEDIUM LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
8224-KDLKN,0.00755315378720892,LOW RISK,1800.0,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
