Feature,Mean_SHAP_Importance
categorical__Contract_Month-to-month,0.07554801101209367
remainder__tenure,0.04842132563031794
categorical__InternetService_Fiber optic,0.04027404724838737
categorical__Contract_Two year,0.039076139504332294
categorical__OnlineSecurity_No,0.03696897727065731
remainder__TotalCharges,0.029270401755222206
categorical__TechSupport_No,0.029250832435346978
categorical__PaymentMethod_Electronic check,0.027480842904843997
categorical__InternetService_DSL,0.019143327582112884
remainder__MonthlyCharges,0.016148635761370673
categorical__OnlineBackup_No,0.011180999219065246
categorical__OnlineSecurity_Yes,0.009418183529453146
categorical__Contract_One year,0.008997509294262946
categorical__PaperlessBilling_No,0.008578276101578616
categorical__OnlineBackup_No internet service,0.007850273265986234
categorical__TechSupport_No internet service,0.007612915120698927
categorical__PaperlessBilling_Yes,0.007191704583044944
categorical__TechSupport_Yes,0.006745445875338493
categorical__StreamingMovies_No internet service,0.006658536177281992
categorical__OnlineSecurity_No internet service,0.006425952072043734
categorical__StreamingTV_No internet service,0.006387578570272188
categorical__InternetService_No,0.005636859355662296
categorical__DeviceProtection_No internet service,0.005249230125186061
categorical__OnlineBackup_Yes,0.005143038756187762
categorical__StreamingMovies_Yes,0.004941928577521029
categorical__StreamingTV_Yes,0.004847758649581925
categorical__Dependents_Yes,0.004230547455417777
categorical__PaymentMethod_Credit card (automatic),0.0038376135326418912
categorical__DeviceProtection_No,0.0036367906006856956
categorical__StreamingMovies_No,0.0035846382184918702
categorical__StreamingTV_No,0.0034283900600990346
categorical__Dependents_No,0.0030706541776704226
categorical__PaymentMethod_Bank transfer (automatic),0.0028222951613290502
categorical__MultipleLines_Yes,0.0027456017756229516
remainder__SeniorCitizen,0.002707323962060621
categorical__MultipleLines_No,0.0026850500673292624
categorical__Partner_No,0.002607020819841673
categorical__Partner_Yes,0.002164540958819701
categorical__PaymentMethod_Mailed check,0.0016124470468238037
categorical__gender_Female,0.0016097213340621867
categorical__gender_Male,0.0016018905388615833
categorical__DeviceProtection_Yes,0.0015856363172757591
categorical__PhoneService_No,0.0008950593905268591
categorical__MultipleLines_No phone service,0.0007838936113749756
categorical__PhoneService_Yes,0.0007145008023650302
